;Unnamed: 0;purpose;terms;interest_rate;risk_type_original;principal_amount;churn;company_id;disbursed_date;age;monthly_income;monthly_interest_rate;principal_amount_final;NPV;profit
352;229;Home Repairs and Improvement;3;0.6047;C;9600.00000006;1;760;2;28.0;13660.0;0.0401983352428148;10387.320735827383;9659.811286459408;59.811286399408345
359;4870;Payment of Utilities;3;0.3054;A;6508.0;1;690;3;61.0;47866.0;0.022457584171545086;6956.382379530582;6548.547067904679;40.54706790467935
360;14120;Medical Outpatient Expenses;3;0.7031000000000001;R;12300.00000002;1;907;3;29.0;12800.0;0.04536995148060652;14051.25607789467;12376.633210718888;76.63321069888843
374;2214;Home Repairs and Improvement;3;0.1025;AA;6195.00000005;1;1102;1;32.0;10593.0;0.008164846051901042;6245.581221341936;6233.59697080469;38.59697075468921
403;11070;Life Events;6;0.33299999999999996;B;31999.99999999;1;401;1;28.0;;0.024241839479260507;32775.73886332609;32199.370954653386;199.37095466338724
415;12076;Personal Vacation;6;0.10980000000000001;A;16063.0;1;385;2;37.0;13120.0;0.008719446407525977;16344.342185029616;16163.077988898718;100.0779888987181
421;12503;Home Repairs and Improvement;6;0.501;E;20000.00000012;1;576;2;;24500.0;0.034423530363104415;21400.64080350577;20124.606846785402;124.60684666540328
436;8777;Personal Vacation;6;0.218;B;15800.00000005;1;414;1;38.0;11914.0;0.01656996473575134;16061.8054428757;15898.43940891539;98.43940886538985
439;7872;Major Purchase;6;0.33299999999999996;B;25000.0;1;307;1;;;0.024241839479260507;25606.045986981513;25155.75855833082;155.75855833082096
446;8740;Pay Off Debts;6;0.62;E;19000.00000013;1;425;1;;14206.0;0.04102122565555377;19779.403287590852;19118.376504462234;118.37650433223462
458;4883;Medical Outpatient Expenses;6;0.33299999999999996;B;15000.00000004;1;330;1;32.0;;0.024241839479260507;15363.627592229877;15093.455135038741;93.45513499874141
459;9152;Payment of Utilities;6;0.218;A;8600.00000008;1;414;1;22.0;;0.01656996473575134;8742.501696808786;8653.5809441463;53.58094406630153
464;12058;Payment of Utilities;6;0.62;E;20000.00000015;1;425;3;35.0;35000.0;0.04102122565555377;22563.618558687598;20124.606846815594;124.60684666559246
465;10325;Purchase of Household Appliances & Furniture;6;0.218;D;15000.00000008;1;576;2;;6668.0;0.01656996473575134;15501.21739812537;15093.45513507899;93.45513499899062
471;8709;Payment of Utilities;6;0.501;D;23100.00000011;1;907;1;;10000.0;0.034423530363104415;23895.1835515015;23243.920908008364;143.9209078983622
473;7130;Home Repairs and Improvement;6;0.218;A;23000.00000011;1;307;3;32.0;12000.0;0.01656996473575134;24162.3771031061;23143.29787377504;143.29787366504024
474;5612;Home Repairs and Improvement;6;0.426;C;40000.00000005;1;385;2;47.0;10500.0;0.030014393929439276;42437.18606812625;40249.21369337963;249.21369332962786
499;7039;Medical Outpatient Expenses;6;0.705;R;15000.00000005;1;107;2;27.0;19000.0;0.045467087489495794;16395.021465411184;15093.455135048804;93.45513499880326
504;329;Medical Outpatient Expenses;6;0.501;D;19500.00000001;1;414;2;26.0;13058.0;0.034423530363104415;20865.624783303632;19621.491675508103;121.49167549810227
511;11875;Life Events;6;0.705;R;17000.00000003;1;760;2;35.0;20000.0;0.045467087489495794;18581.024327436862;17105.915819695143;105.91581966514423
524;7801;Home Repairs and Improvement;6;0.33299999999999996;B;12000.00000004;1;414;3;26.0;9129.0;0.024241839479260507;12894.0331789099;12074.764108039042;74.76410799904261
535;8884;Hospitalization In-patient Expenses;6;0.501;D;21000.00000008;1;760;3;34.0;;0.034423530363104415;23244.192732543983;21130.837189078386;130.8371889983864
536;5954;Home Repairs and Improvement;6;0.62;F;15000.0000001;1;576;3;29.0;19000.0;0.04102122565555377;16922.713919001595;15093.455135099117;93.45513499911613
548;7013;Home Repairs and Improvement;6;0.705;R;12699.99999999;1;320;1;34.0;15369.0;0.045467087489495794;13277.43201110614;12779.125347621994;79.12534763199437
569;11877;Life Events;6;0.705;R;19000.00000012;1;760;2;30.0;10429.0;0.045467087489495794;20767.02718958277;19118.37650445217;118.37650433217277
584;5942;Personal Vacation;6;0.426;R;20700.00000004;1;576;3;28.0;17777.0;0.030014393929439276;22620.397212571945;20828.96808633817;128.9680862981695
585;2766;Home Repairs and Improvement;6;0.33299999999999996;R;14000.00000012;1;198;1;27.0;10000.0;0.024241839479260507;14339.385752832557;14087.224792786008;87.22479266600749
587;4282;Calamity Fund;6;0.10980000000000001;B;16465.00000008;1;576;2;44.0;13000.0;0.008719446407525977;16753.383183578422;16567.582586597175;102.58258651717551
590;7109;Home Repairs and Improvement;6;0.705;R;11800.00000005;1;589;3;39.0;10000.0;0.045467087489495794;13483.82486808553;11873.51803958246;73.51803953245872
591;7170;Home Repairs and Improvement;6;0.62;F;21000.0;1;245;2;45.0;15000.0;0.04102122565555377;22758.22903757322;21130.837188997888;130.837188997888
598;15701;Life Events;6;0.426;C;15300.00000015;1;414;3;22.0;12303.0;0.030014393929439276;16719.424026815217;15395.324237849396;95.32423769939669
604;11785;Others;6;0.3243;C;18000.00000001;1;760;2;41.0;28000.0;0.023683095323177694;18862.687433718438;18112.146162008255;112.14616199825468
610;4415;Life Events;6;0.705;F;20600.00000013;1;907;2;24.0;20989.0;0.045467087489495794;22515.829479231732;20728.345052195407;128.3450520654078
613;7117;Payment of Utilities;6;0.705;R;10000.00000012;1;690;1;37.0;15000.0;0.045467087489495794;10454.670875020414;10062.303423453077;62.30342333307635
625;2141;School Expenses;6;0.33299999999999996;B;25000.0;1;318;1;25.0;15000.0;0.024241839479260507;25606.045986981513;25155.75855833082;155.75855833082096
629;11842;Home Repairs and Improvement;6;0.426;C;20000.00000009;1;385;3;35.0;11525.0;0.030014393929439276;21855.45624408698;20124.606846755218;124.60684666521774
652;6832;Medical Outpatient Expenses;12;0.368;E;38400.00000016;1;760;2;25.0;29300.0;0.026456402859956762;40458.72948390113;38639.24514575714;239.24514559713862
653;3194;School Expenses;12;0.25;B;38000.00000025;1;344;3;;12495.0;0.018769265121506118;40180.10801100579;38236.753008914406;236.75300866440375
655;4771;Business;12;0.35200000000000004;R;19000.00000001;1;198;3;23.0;;0.025450554595086716;20487.915480514424;19118.376504341486;118.3765043314852
656;10030;Purchase of Household Appliances & Furniture;12;0.368;E;19000.00000013;1;973;3;;150000.0;0.026456402859956762;20548.26345516579;19118.376504462234;118.37650433223462
667;6268;Hospitalization In-patient Expenses;12;0.368;C;45900.00000027;1;895;1;34.0;15000.0;0.026456402859956762;47114.34889154916;46185.972713367075;285.9727130970714
671;16770;Home Repairs and Improvement;12;0.368;E;21000.00000024;1;760;3;23.0;18250.0;0.026456402859956762;22711.238555813725;21130.837189239384;130.83718899938322
678;1089;Home Repairs and Improvement;12;0.25;A;24000.00000022;1;392;2;29.0;;0.018769265121506118;24909.379573577462;24149.528216218958;149.52821599895833
681;6978;Purchase of Household Appliances & Furniture;12;0.31;C;38900.00000007;1;576;2;35.0;;0.022757347060500255;40690.667788659666;39142.3603168332;242.36031676319544
682;17031;School Expenses;12;0.35200000000000004;D;20000.00000007;1;576;2;;15000.0;0.025450554595086716;21030.976798461023;20124.606846735092;124.60684666509405
705;4325;Home Repairs and Improvement;12;0.25;C;70000.00000007;1;387;3;35.0;80000.0;0.018769265121506118;74015.98844091351;70436.12396339673;436.1239633267396
707;11593;Home Repairs and Improvement;12;0.25;B;46000.00000016;1;302;3;34.0;16000.0;0.018769265121506118;48639.078118435136;46286.59574748971;286.5957473297094
711;11336;Payment of Utilities;12;0.295;B;21300.0000001;1;198;2;44.0;15979.0;0.021776274094511106;22237.769866746832;21432.706291798484;132.70629169848326
727;12547;Pay Off Debts;12;0.31;C;31000.00000009;1;576;2;28.0;16000.0;0.022757347060500255;32427.01032004735;31193.14061242078;193.14061233077882
740;15307;Pay Off Debts;12;0.25;B;48600.00000011;1;385;2;36.0;18600.0;0.018769265121506118;50441.49363614615;48902.7946375058;302.7946373958039
741;14777;Business;12;0.25;B;10000.00000021;1;198;3;;15131.0;0.018769265121506118;10573.712634627691;10062.303423543637;62.3034233336366
751;2671;Home Repairs and Improvement;12;0.35200000000000004;R;18000.00000026;1;198;1;;14473.0;0.025450554595086716;18458.109982978178;18112.14616225981;112.14616199981174
752;7124;Payment of Utilities;12;0.368;R;19000.00000013;1;690;1;24.0;34000.0;0.026456402859956762;19502.67165447262;19118.376504462234;118.37650433223462
757;11008;Medical Outpatient Expenses;12;0.25;R;13000.00000013;1;198;2;36.0;16000.0;0.018769265121506118;13492.580602365702;13080.994450462837;80.994450332837
758;3624;Home Repairs and Improvement;12;0.368;R;45100.00000017;1;760;2;29.0;17198.0;0.026456402859956762;47517.93488862542;45380.988439399865;280.9884392298627
759;235;School Expenses;12;0.25;R;20000.00000012;1;198;3;32.0;16500.0;0.018769265121506118;21147.42526893817;20124.606846785402;124.60684666540328
765;5607;School Expenses;12;0.25;A;28000.00000004;1;258;1;35.0;30250.0;0.018769265121506118;28525.539423442922;28174.449585370767;174.44958533076715
787;2941;Home Repairs and Improvement;12;0.25;B;32000.00000015;1;414;2;40.0;11788.0;0.018769265121506118;33212.50609795452;32199.370954814385;199.37095466438404
795;16474;Payment of Utilities;12;0.31;C;27300.00000013;1;647;1;50.0;15000.0;0.022757347060500255;27921.275574884614;27470.088345828066;170.0883456980664
799;14729;School Expenses;12;0.31;E;30000.00000007;1;210;3;33.0;;0.022757347060500255;32095.125530338246;30186.91027006742;186.91026999742098
804;8615;Home Repairs and Improvement;24;0.264;A;51700.00000044;1;690;3;39.0;;0.019715270042649724;54818.520679204;52022.10869907088;322.1086986308801
805;10051;Home Repairs and Improvement;24;0.299;B;45900.00000007;1;741;1;38.0;33000.0;0.022038907966363874;46911.585875727644;46185.97271316582;285.9727130958199
810;8771;Purchase of Household Appliances & Furniture;24;0.299;B;63000.00000026;1;576;1;27.0;11000.0;0.022038907966363874;64388.45120214665;63392.511567255286;392.51156699528656
822;1864;Home Repairs and Improvement;24;0.353;R;54000.00000062;1;690;3;29.0;;0.025513738956957743;58239.576595835664;54336.438486618434;336.43848599843477
825;11029;Home Repairs and Improvement;24;0.1381;B;38500.00000017;1;198;3;26.0;58485.0;0.010838330845896804;39765.44394750683;38739.86818000053;239.86817983052606
828;13518;Life Events;24;0.299;B;30000.00000007;1;589;2;;19435.0;0.022038907966363874;31336.905881985447;30186.91027006742;186.91026999742098
830;10088;Home Repairs and Improvement;24;0.353;D;31500.00000054;1;741;1;35.0;16241.0;0.025513738956957743;32303.682777697944;31696.255784040197;196.25578350019714
840;6979;Home Repairs and Improvement;24;0.353;R;24000.00000004;1;210;3;24.0;10920.0;0.025513738956957743;25884.2562645618;24149.528216037837;149.52821599783783
842;5417;Payment of Utilities;24;0.353;D;112800.00000026;1;967;3;30.0;8792.0;0.025513738956957743;121656.00444351812;113502.78261545028;702.7826151902846
846;3687;Home Repairs and Improvement;24;0.299;B;39500.00000058;1;571;1;30.0;13312.0;0.022038907966363874;40370.536865264155;39746.09852274631;246.0985221663068
866;6458;School Expenses;24;0.264;D;42000.00000017;1;198;3;22.0;10080.0;0.019715270042649724;44533.42105447374;42261.67437816684;261.6743779968383
871;3280;Home Repairs and Improvement;24;0.264;A;40000.00000008;1;318;3;30.0;17344.0;0.019715270042649724;42412.78195655481;40249.21369340981;249.21369332980976
882;11629;Home Repairs and Improvement;24;0.264;A;40000.00000008;1;728;1;30.0;23050.0;0.019715270042649724;40788.61080178757;40249.21369340981;249.21369332980976
892;7542;School Expenses;24;0.353;A;52000.00000067;1;212;3;33.0;22000.0;0.025513738956957743;56082.55524051304;52323.97780200228;323.97780133227934
906;11612;Home Repairs and Improvement;24;0.331;B;80000.0000006;1;385;3;28.0;19000.0;0.02411368908444511;85927.9598921598;80498.42738726237;498.4273866623698
912;9400;Medical Outpatient Expenses;24;0.353;D;65000.0000003;1;576;3;38.0;22000.0;0.025513738956957743;70103.1940500616;65404.972251962005;404.97225166200224
915;13220;Personal Vacation;24;0.353;R;50000.00000003;1;64;1;34.0;13050.0;0.025513738956957743;51275.686947878654;50311.51711669183;311.5171166618311
916;6684;Education / Tuition Fee;24;0.1381;D;75000.00000049;1;387;3;43.0;22000.0;0.010838330845896804;77465.15054725527;75467.27567548552;467.27567499551515
918;3483;Home Repairs and Improvement;24;0.368;A;45372.00000057;1;1124;1;35.0;18674.0;0.026456402859956762;46572.379911147036;45654.68309291699;282.6830923469897
923;7935;Home Repairs and Improvement;36;0.17300000000000001;A;300000.00000022;1;318;1;30.0;25000.0;0.013385846359511788;304015.7539080765;301869.10270019126;1869.102699971234
939;9911;Personal Vacation;36;0.23800000000000002;B;150000.00000087;1;690;2;26.0;14850.0;0.017950641491917496;155433.52627797247;150934.55135086033;934.5513499903318
941;872;Life Events;36;0.335;R;85000.00000078;1;760;2;36.0;17232.0;0.02436981374427094;89193.34880220862;85529.57909910964;529.5790983296465
944;14025;Home Repairs and Improvement;36;0.17300000000000001;A;39200.00000028;1;766;1;48.0;18100.0;0.013385846359511788;39724.72517757661;39444.22941974447;244.229419464471
947;12904;Personal Vacation;36;0.17300000000000001;A;200000.00000079;1;576;1;35.0;12000.0;0.013385846359511788;202677.16927270291;201246.06846744148;1246.0684666514862
952;13859;Home Repairs and Improvement;36;0.17300000000000001;A;52200.00000034;1;766;1;38.0;18000.0;0.013385846359511788;52898.741180311066;52525.22387013687;325.22386979687144
954;12776;Hospitalization In-patient Expenses;36;0.11220000000000001;B;94000.00000051;1;198;2;25.0;15090.0;0.008901050482778006;95680.8449890529;94585.65217983707;585.6521793270658
972;1540;Home Repairs and Improvement;36;0.17300000000000001;A;88000.0000006;1;760;1;31.0;28000.0;0.013385846359511788;89177.95448024507;88548.27012592823;548.2701253282285
973;7190;Medical Outpatient Expenses;36;0.335;D;97500.00000004;1;760;2;33.0;29000.0;0.02436981374427094;102310.01774281303;98107.45837753045;607.4583774904459
990;494;Home Repairs and Improvement;36;0.17300000000000001;A;45200.00000015;1;728;2;28.0;31200.0;0.013385846359511788;46418.17948695469;45481.61147361306;281.611473463061
992;15998;Home Repairs and Improvement;36;0.335;D;80000.00000008;1;760;1;31.0;100000.0;0.02436981374427094;81949.58509962363;80498.42738673913;498.42738665912475
993;12029;Life Events;36;0.335;R;119000.00000052;1;760;2;;36000.0;0.02436981374427094;124870.68832249186;119741.41073817795;741.4107376579486
2;7058;Home Repairs and Improvement;1;0.0;F;4700.0;0;576;3;28.0;23400.0;0.0;4700.0;4613.235555800742;-86.76444419925792
4;5492;Hospitalization In-patient Expenses;1;0.0;F;5200.0;0;967;1;33.0;25000.0;0.0;5200.0;5167.80281932496;-32.19718067503982
5;12053;Home Repairs and Improvement;1;0.0;F;1500.0;0;119;2;32.0;20000.0;0.0;1500.0;1481.4822103969861;-18.517789603013853
6;3933;Life Events;1;0.0;F;3400.0;0;690;1;33.0;15000.0;0.0;3400.0;3378.9479972509353;-21.05200274906474
7;16628;Education / Tuition Fee;1;0.0;F;3700.0;0;425;1;34.0;10920.0;0.0;3700.0;3677.090467596606;-22.909532403394223
8;9672;School Expenses;1;0.0;F;1700.0;0;119;3;32.0;15510.0;0.0;1700.0;1668.6171159279281;-31.382884072071874
9;10975;Home Repairs and Improvement;1;0.0;F;4000.0;0;760;2;28.0;14874.0;0.0;4000.0;3950.6192277252967;-49.380772274703304
10;16637;Education / Tuition Fee;1;0.0;F;2900.0;0;425;2;35.0;25007.0;0.0;2900.0;2864.19894010084;-35.80105989916001
11;7059;Home Repairs and Improvement;1;0.0;F;3800.0;0;576;2;37.0;9242.0;0.0;3800.0;3753.0882663390316;-46.911733660968366
12;2699;Personal Vacation;1;0.0;F;3800.0;0;760;2;24.0;17358.0;0.0;3800.0;3753.0882663390316;-46.911733660968366
13;3722;Life Events;1;0.0;F;3000.0;0;905;1;37.0;18000.0;0.0;3000.0;2981.4247034567074;-18.575296543292552
14;6200;Calamity Fund;1;0.0;F;3200.0;0;760;1;25.0;;0.0;3200.0;3180.1863503538216;-19.81364964617842
15;8540;Motorbike Purchase;1;0.0;F;3700.0;0;760;3;28.0;12000.0;0.0;3700.0;3631.6960758431374;-68.30392415686265
16;6182;Purchase of Household Appliances & Furniture;1;0.0;F;3200.0;0;760;3;28.0;10000.0;0.0;3200.0;3140.926335864335;-59.073664135664785
18;7286;Home Repairs and Improvement;1;0.0;;2964.0;0;563;3;38.0;26500.0;0.0;2964.0;2909.2830185943403;-54.71698140565968
19;2359;Education / Tuition Fee;1;0.0;F;3000.0;0;576;2;22.0;13387.0;0.0;3000.0;2962.9644207939723;-37.035579206027705
20;14870;Medical Outpatient Expenses;1;0.0;F;2900.0;0;576;3;29.0;9000.0;0.0;2900.0;2846.4644918770537;-53.53550812294634
21;1401;Home Repairs and Improvement;1;0.0;F;1800.0;0;198;1;40.0;20000.0;0.0;1800.0;1788.8548220740245;-11.145177925975531
22;6719;Home Repairs and Improvement;1;0.0;F;2401.2;0;576;1;30.0;;0.0;2401.2;2386.3323326467485;-14.867667353251363
23;5803;Payment of Utilities;1;0.0;F;1700.0;0;760;3;;;0.0;1700.0;1668.6171159279281;-31.382884072071874
24;7411;Payment of Utilities;1;0.0;F;20000.0;0;690;3;;28196.0;0.0;20000.0;19630.789599152096;-369.21040084790366
25;3805;Purchase of Household Appliances & Furniture;1;0.0;F;1404.6;0;760;1;28.0;19600.0;0.0;1404.6;1395.9030461584305;-8.696953841569439
26;15678;Home Repairs and Improvement;1;0.0;F;3500.0;0;905;3;38.0;12000.0;0.0;3500.0;3435.3881798516168;-64.61182014838323
27;12263;Home Repairs and Improvement;1;3.6;F;2500.00000001;0;119;3;46.0;23000.0;0.13561159795100552;3661.250690482931;3593.6620987310375;1093.6620987210376
28;16613;Calamity Fund;1;0.0;F;4400.0;0;425;2;23.0;28280.0;0.0;4400.0;4345.681150497826;-54.31884950217409
29;6720;Home Repairs and Improvement;1;0.0;F;5000.0;0;576;1;45.0;20000.0;0.0;5000.0;4969.041172427846;-30.958827572154405
30;15144;Calamity Fund;1;0.0;F;16000.0;0;625;2;24.0;15000.0;0.0;16000.0;15802.476910901187;-197.52308909881322
31;15681;Home Repairs and Improvement;1;0.0;F;3700.0;0;905;2;42.0;;0.0;3700.0;3654.3227856458993;-45.67721435410067
32;6166;Personal Vacation;1;0.0;F;4000.0;0;760;1;38.0;15996.0;0.0;4000.0;3975.2329379422767;-24.76706205772325
33;10979;Home Repairs and Improvement;1;0.0;F;4000.0;0;760;1;38.0;15250.0;0.0;4000.0;3975.2329379422767;-24.76706205772325
34;12698;Payment of Utilities;1;0.0;F;6300.0;0;576;3;25.0;22500.0;0.0;6300.0;6183.69872373291;-116.30127626708963
36;16609;Calamity Fund;1;0.0;F;3200.0;0;425;3;;17500.0;0.0;3200.0;3140.926335864335;-59.073664135664785
37;8981;Calamity Fund;1;0.0;F;4400.0;0;760;1;40.0;20000.0;0.0;4400.0;4372.756231736505;-27.24376826349544
38;5900;Calamity Fund;1;0.0;F;3600.0;0;760;3;42.0;9086.0;0.0;3600.0;3533.5421278473773;-66.45787215262271
39;12277;Life Events;1;0.0;F;2033.6;0;1102;3;29.0;27936.0;0.0;2033.6;1996.0586864417849;-37.54131355821505
40;2363;Payment of Utilities;1;0.0;F;2600.0;0;897;2;;17943.76;0.0;2600.0;2567.9024980214426;-32.097501978557375
42;6877;Calamity Fund;1;0.0;F;3300.0;0;576;1;45.0;20250.0;0.0;3300.0;3279.5671738023784;-20.43282619762158
43;8403;Calamity Fund;1;0.0;;2416.2;0;787;2;27.0;90456.0;0.0;2416.2;2386.3715445074654;-29.82845549253443
44;11605;Business;1;0.0;F;2500.0;0;760;1;24.0;;0.0;2500.0;2484.520586213923;-15.479413786077203
45;13905;Payment of Utilities;1;0.0;F;2800.0;0;576;2;39.0;47250.0;0.0;2800.0;2765.4334594077077;-34.56654059229231
46;15149;Home Repairs and Improvement;1;0.0;F;1800.0;0;198;1;32.0;21950.0;0.0;1800.0;1788.8548220740245;-11.145177925975531
47;5812;Home Repairs and Improvement;1;0.0;F;5200.0;0;760;2;24.0;11340.0;0.0;5200.0;5135.804996042885;-64.19500395711475
48;2804;Payment of Utilities;1;0.0;F;4000.0;0;760;3;39.0;14250.0;0.0;4000.0;3926.157919830419;-73.8420801695811
49;16978;Payment of Utilities;1;0.0;F;2200.0;0;728;3;34.0;32500.0;0.0;2200.0;2159.3868559067305;-40.61314409326951
50;12022;Business;3;0.7031000000000001;;12150.00000005;0;576;3;41.0;16000.0;0.04536995148060652;13879.899296491481;13623.669137342173;1473.6691372921723
51;5536;Payment of Utilities;3;0.3054;A;7288.50000003;0;690;1;44.0;11500.0;0.022457584171545086;7452.18210226498;7406.039938116917;117.53993808691757
52;13247;Payment of Utilities;3;0.4557;B;5142.00000001;0;576;3;45.0;21000.0;0.03178527001205378;5648.069639150004;5543.803336375631;401.80333636563137
53;7170;Life Events;3;0.4557;R;9400.00000006;0;385;1;29.0;32000.0;0.03178527001205378;9698.781538175212;9638.72895711514;238.7289570551402
54;5219;Home Repairs and Improvement;3;0.4557;B;6152.00000005;0;1124;3;29.0;17257.0;0.03178527001205378;6757.472660495071;6632.726201010064;480.7262009600636
55;12921;Education / Tuition Fee;3;0.6046;C;5000.00000003;0;655;1;53.0;13246.0;0.04019293325673989;5200.964666314905;5168.761512652243;168.76151262224357
57;2390;Home Repairs and Improvement;3;0.4557;B;5370.00000005;0;589;2;54.0;30000.0;0.03178527001205378;5716.799129185586;5646.224140200952;276.2241401509518
58;15475;Calamity Fund;3;0.1025;A;11250.00000003;0;760;1;29.0;18000.0;0.008164846051901042;11341.854518114133;11271.628414439183;21.62841440918237
59;2260;Home Repairs and Improvement;3;0.7031000000000001;D;7000.00000002;0;198;2;;21000.0;0.04536995148060652;7649.588348231814;7555.152703176999;555.1527031569995
60;5859;Calamity Fund;3;0.1025;D;7574.00000003;0;85;3;47.0;;0.008164846051901042;7761.040510168539;7617.767666280732;43.76766625073196
61;15199;Business;3;1.33;R;2200.00000001;0;119;2;29.0;18000.0;0.07303278993199691;2533.078610203853;2501.8072657027533;301.8072656927534
62;4603;Purchase of Household Appliances & Furniture;3;0.6046;C;7999.50000003;0;1125;1;25.0;22980.0;0.04019293325673989;8321.023369618497;8269.50154407372;270.00154404372097
63;1645;Life Events;3;0.6047;R;10000.00000005;0;760;2;40.0;13312.0;0.0401983352428148;10820.125766473335;10686.549224858867;686.5492248088667
64;9505;Medical Outpatient Expenses;3;0.7031000000000001;R;5400.00000001;0;119;2;34.0;21880.0;0.04536995148060652;5901.111011487182;5828.260656730683;428.2606567206831
65;2223;Calamity Fund;3;0.1025;B;7396.50000002;0;898;2;40.0;9340.0;0.008164846051901042;7517.77565320139;7424.967261315628;28.467261295628305
66;9119;Life Events;3;0.4557;B;9700.00000001;0;576;2;28.0;15000.0;0.03178527001205378;10326.43418112496;10198.952357447999;498.9523574379982
67;2421;Calamity Fund;3;0.4557;B;5100.00000002;0;589;2;50.0;32000.0;0.03178527001205378;5429.362301431909;5362.335775580942;262.33577556094224
68;2035;Payment of Utilities;3;0.3054;B;6000.00000002;0;576;3;25.0;11000.0;0.022457584171545086;6413.382648635928;6294.988269711234;294.98826969123456
